City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,85.96,-0.7393,-90.3518,Hostal La Mirada De Solitario George
3,Ambovombe,MG,70.65,-25.1667,46.0833,La source
6,Atuona,PF,80.06,-9.8,-139.0333,Pearl Resort
9,Rocha,UY,74.82,-34.4833,-54.3333,Hotel Municipal
19,Bosaso,SO,76.08,11.2842,49.1816,Bosaso hotel
21,Barra Da Estiva,BR,71.11,-13.6261,-41.3269,Hotel Santa Rita
24,Rikitea,PF,79.86,-23.1203,-134.9692,Chez Bianca & Benoit
29,Rawson,AR,74.59,-43.3002,-65.1023,Hotel Deportivo
37,Sainte-Rose,GP,78.84,16.3324,-61.6979,Habitation du Compté
38,Sinjai,ID,73.51,-5.1241,120.253,Hotel Sinjai
45,Villamontes,BO,88.88,-21.25,-63.5,Hoterma
48,Kapaa,US,79.12,22.0752,-159.319,Pono Kai Resort
55,Inirida,CO,79.25,3.8653,-67.9239,Residencias El Turista del Guainia
56,Kitgum,UG,76.64,3.2783,32.8867,Cactus Hillside Hotel
64,Coari,BR,79.97,-4.085,-63.1414,Hotel Saúde
67,Saint Pete Beach,US,84.25,27.7253,-82.7412,Grand Plaza Hotel
71,Bengkulu,ID,73.13,-3.8004,102.2655,Dena Hotel
76,Palu,ID,73.6,-0.8917,119.8707,Ujung Pandang Hotel
78,Vaini,TO,86.16,-21.2,-175.2,Keleti International Resort
84,Yeppoon,AU,74.98,-23.1333,150.7333,Blossom's on Seaspray
85,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le Baril
88,Soure,BR,78.48,-0.7167,-48.5233,Hotel Marajó
91,Faanui,PF,82.04,-16.4833,-151.75,Oa Oa Lodge
92,Soyo,AO,78.98,-6.1349,12.3689,Hotel Maria Teres
97,San Fernando,PH,73.13,15.0286,120.6898,Pampanga Lodge and Restaurant
104,Mahebourg,MU,80.26,-20.4081,57.7,Grand Bel Air
