City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2023-03-04 21:58:08,-54.8,-68.3,46.06,61,75,20.71
1,Mataura,NZ,2023-03-04 21:59:18,-46.1927,168.8643,51.48,85,83,1.12
2,Puerto Ayora,EC,2023-03-04 22:00:09,-0.7393,-90.3518,85.96,84,81,10.0
3,Ambovombe,MG,2023-03-04 22:00:09,-25.1667,46.0833,70.65,95,100,5.17
4,Bogorodskoye,RU,2023-03-04 22:00:10,56.55,37.8833,27.12,97,100,8.01
5,Athabasca,CA,2023-03-04 22:00:10,54.7169,-113.2854,16.21,69,100,11.27
6,Atuona,PF,2023-03-04 22:00:11,-9.8,-139.0333,80.06,79,13,12.37
7,Tommot,RU,2023-03-04 22:00:11,58.9564,126.2925,22.55,89,100,12.84
8,Channel-Port Aux Basques,CA,2023-03-04 22:00:12,47.5702,-59.1367,21.04,68,99,20.89
9,Rocha,UY,2023-03-04 22:00:13,-34.4833,-54.3333,74.82,68,18,7.02
10,Tabuk,PH,2023-03-04 22:00:13,17.4189,121.4443,65.1,84,98,7.29
11,Teya,RU,2023-03-04 22:00:14,60.3778,92.6267,7.48,91,100,8.1
12,Jalu,LY,2023-03-04 22:00:14,29.0331,21.5482,61.3,72,76,17.72
13,Nur,PL,2023-03-04 22:00:15,52.6683,22.3221,29.03,53,8,16.17
14,Upernavik,GL,2023-03-04 22:00:15,72.7868,-56.1549,8.47,80,95,7.2
15,New Norfolk,AU,2023-03-04 22:00:16,-42.7826,147.0587,64.89,70,100,1.99
16,Butaritari,KI,2023-03-04 21:59:16,3.0707,172.7902,81.23,77,92,6.78
17,Torbay,CA,2023-03-04 22:00:16,47.6666,-52.7314,25.57,60,20,21.85
18,Arraial Do Cabo,BR,2023-03-04 22:00:17,-22.9661,-42.0278,80.56,73,0,18.41
19,Bosaso,SO,2023-03-04 22:00:17,11.2842,49.1816,76.08,82,11,1.97
20,Pareora,NZ,2023-03-04 22:00:18,-44.4871,171.2132,53.19,97,100,9.8
21,Barra Da Estiva,BR,2023-03-04 22:00:19,-13.6261,-41.3269,71.11,62,9,9.26
22,Sokna,NO,2023-03-04 22:00:20,60.24,9.9235,15.19,90,8,4.18
23,Bereda,ES,2023-03-04 22:00:20,43.2686,-7.5406,41.58,100,8,1.59
24,Rikitea,PF,2023-03-04 21:59:14,-23.1203,-134.9692,79.86,75,100,17.43
25,Punta Arenas,CL,2023-03-04 21:59:15,-53.15,-70.9167,48.31,57,75,14.97
26,Kruisfontein,ZA,2023-03-04 21:59:16,-34.0033,24.7314,67.89,92,1,1.86
27,Avera,US,2023-03-04 22:00:21,33.194,-82.5271,76.51,43,0,8.93
28,Bluff,NZ,2023-03-04 21:59:25,-46.6,168.3333,51.8,65,83,8.14
29,Rawson,AR,2023-03-04 22:00:22,-43.3002,-65.1023,74.59,27,66,11.23
30,Adolfo Lopez Mateos,MX,2023-03-04 22:00:22,28.4667,-107.3,69.93,7,0,18.3
31,Hermanus,ZA,2023-03-04 22:00:23,-34.4187,19.2345,67.8,90,96,6.78
32,Bambanglipuro,ID,2023-03-04 22:00:23,-7.95,110.2833,77.58,88,100,5.75
33,Chokurdakh,RU,2023-03-04 21:59:26,70.6333,147.9167,-36.33,96,18,5.73
34,Dubbo,AU,2023-03-04 21:58:28,-32.25,148.6167,66.33,77,40,9.22
35,Busselton,AU,2023-03-04 21:59:19,-33.65,115.3333,61.7,68,74,8.25
36,Maunabo,PR,2023-03-04 22:00:24,18.0072,-65.8993,83.12,79,32,10.92
37,Sainte-Rose,GP,2023-03-04 22:00:24,16.3324,-61.6979,78.84,73,40,12.66
38,Sinjai,ID,2023-03-04 22:00:25,-5.1241,120.253,73.51,84,97,4.56
39,Half Moon Bay,US,2023-03-04 21:55:52,37.4636,-122.4286,54.05,78,75,17.27
40,Tuktoyaktuk,CA,2023-03-04 22:00:25,69.4541,-133.0374,-27.4,68,20,5.75
41,Constitucion,CL,2023-03-04 22:00:26,-35.3333,-72.4167,68.2,53,6,17.11
42,Nikolskoye,RU,2023-03-04 22:00:27,59.7035,30.7861,30.09,98,98,4.41
43,Vila Franca Do Campo,PT,2023-03-04 22:00:27,37.7167,-25.4333,59.41,75,100,16.02
44,Loiza,PR,2023-03-04 22:00:28,18.4313,-65.8802,83.28,67,40,18.41
45,Villamontes,BO,2023-03-04 22:00:28,-21.25,-63.5,88.88,47,71,8.46
46,Salisbury,GB,2023-03-04 21:57:32,51.0693,-1.7957,40.64,68,100,5.75
47,Williston,US,2023-03-04 22:01:29,48.147,-103.618,36.34,85,7,4.38
48,Kapaa,US,2023-03-04 21:59:20,22.0752,-159.319,79.12,75,75,11.5
49,Sinop,TR,2023-03-04 22:01:29,41.7711,34.8709,42.85,88,100,4.05
50,Ribeira Grande,PT,2023-03-04 22:01:30,38.5167,-28.7,61.2,77,75,23.0
51,Cabra,ES,2023-03-04 22:01:30,37.4725,-4.4421,47.88,63,98,3.87
52,Mehamn,NO,2023-03-04 22:01:31,71.0357,27.8492,26.51,93,100,23.02
53,Jamestown,US,2023-03-04 21:57:49,42.097,-79.2353,37.02,92,100,8.05
54,Kodiak,US,2023-03-04 21:59:23,57.79,-152.4072,29.71,47,0,13.8
55,Inirida,CO,2023-03-04 22:01:32,3.8653,-67.9239,79.25,87,100,1.97
56,Kitgum,UG,2023-03-04 22:01:33,3.2783,32.8867,76.64,37,100,3.94
57,Vestmanna,FO,2023-03-04 22:01:34,62.1564,-7.1664,32.92,93,100,12.66
58,Belyy Yar,RU,2023-03-04 22:01:34,53.6039,91.3903,21.09,78,0,11.18
59,San Patricio,US,2023-03-04 21:59:13,28.017,-97.5169,83.16,37,0,12.75
60,Katsuura,JP,2023-03-04 21:59:28,35.1333,140.3,51.39,68,100,16.84
61,Bambous Virieux,MU,2023-03-04 22:01:35,-20.3428,57.7575,80.22,88,75,3.44
62,Bredasdorp,ZA,2023-03-04 22:01:35,-34.5322,20.0403,67.1,93,96,2.13
63,Kupino,RU,2023-03-04 22:01:36,54.3663,77.2981,14.41,95,99,8.66
64,Coari,BR,2023-03-04 22:01:36,-4.085,-63.1414,79.97,86,83,2.95
65,Kharp,RU,2023-03-04 22:01:37,66.8014,65.8081,-14.22,96,21,3.98
66,Roald,NO,2023-03-04 22:01:38,62.5833,6.1333,34.75,69,40,8.05
67,Saint Pete Beach,US,2023-03-04 22:01:38,27.7253,-82.7412,84.25,68,0,16.11
68,Carnarvon,AU,2023-03-04 22:01:38,-24.8667,113.6333,77.34,67,0,21.21
69,Wucheng,CN,2023-03-04 22:01:39,29.6008,118.175,48.96,64,1,1.39
70,Ancud,CL,2023-03-04 22:01:39,-41.8697,-73.8203,56.91,72,83,10.4
71,Bengkulu,ID,2023-03-04 22:01:40,-3.8004,102.2655,73.13,90,95,4.29
72,Solnechnyy,RU,2023-03-04 22:01:40,50.7214,136.6319,18.77,90,87,5.97
73,Saskylakh,RU,2023-03-04 22:01:41,71.9167,114.0833,-24.47,100,95,3.31
74,Qaanaaq,GL,2023-03-04 22:01:42,77.484,-69.3632,9.68,45,0,9.37
75,Urumqi,CN,2023-03-04 22:00:57,43.801,87.6005,23.95,86,90,2.24
76,Palu,ID,2023-03-04 22:01:42,-0.8917,119.8707,73.6,95,100,1.86
